Categorie,Valeur
Émission Agriculture,12.4
Émission Transport,3.1 
Émission Malterie,8.2 
Émission Total,23.7 
Nom de l’exploitation,Ferme Martin
Lieu exploitation,Gers
Type et variété de céréales,Orge de printemps
Date de moisson,
Événements particuliers,Aucun
Date validité certification bio,—
Nom de la coopérative,Coop Occitanie
Lieu coopérative,Auch
Date réception céréales,2 jours après moisson
Type / variété céréales (coop),Orge de printemps
Certification coopérative,—
Humidité ,13.5
Taux de protéines ,9.8
Teneur en impuretés,1.2
Poids spécifique,67.4
